Landscape;Transect_type;Category;bf.rich;bb.rich;pp.rich;pi.rich;bf.special;pp.special;bf.red;bf.redpa;TUVA;Powerline;Railway;Road;Public_road;Between_fields;Forest;Arable;Open_areas;Urban;Water;PL;RD;Pasture.mngmt;Pwrl.type;Pwrl.year;Pwrl.yr.since.mown
2333;Big road;PL.LRD;2;1;15;1;1;7;0;0;0,046520402;0,059128782;0,060416722;0,022226624;0,009781725;0,001892771;2,787817645;0,434489324;0,254721148;0;0,327675704;1;0;;;;
2333;Pasture;PL.LRD;10;12;23;6;6;18;1;1;0,046520402;0,059128782;0,060416722;0,022226624;0,009781725;0,001892771;2,787817645;0,434489324;0,254721148;0;0,327675704;1;0;none;;;
2333;Powerline;PL.LRD;9;5;25;2;4;14;0;0;0,046520402;0,059128782;0,060416722;0,022226624;0,009781725;0,001892771;2,787817645;0,434489324;0,254721148;0;0,327675704;1;0;;Region;2015;1
2333;Small road;PL.LRD;5;5;27;1;2;17;0;0;0,046520402;0,059128782;0,060416722;0,022226624;0,009781725;0,001892771;2,787817645;0,434489324;0,254721148;0;0,327675704;1;0;;;;
2844;Between fields;PL.HRD;5;2;13;0;3;7;0;0;0,042654484;0,010892569;0;0,043949659;0,035855766;0,002898357;2,794571767;0,847015119;0,157859594;0;0,0643026;1;1;;;;
2844;Big road;PL.HRD;5;8;24;4;5;15;1;1;0,042654484;0,010892569;0;0,043949659;0,035855766;0,002898357;2,794571767;0,847015119;0,157859594;0;0,0643026;1;1;;;;
2844;Pasture;PL.HRD;19;9;24;6;11;18;1;1;0,042654484;0,010892569;0;0,043949659;0,035855766;0,002898357;2,794571767;0,847015119;0,157859594;0;0,0643026;1;1;horses;;;
2844;Powerline;PL.HRD;13;4;21;0;6;11;0;0;0,042654484;0,010892569;0;0,043949659;0,035855766;0,002898357;2,794571767;0,847015119;0,157859594;0;0,0643026;1;1;;Region;2014;2
2844;Small road;PL.HRD;9;4;21;5;3;11;0;0;0,042654484;0,010892569;0;0,043949659;0,035855766;0,002898357;2,794571767;0,847015119;0,157859594;0;0,0643026;1;1;;;;
3897;Big road;PL.HRD;2;4;16;1;1;7;0;0;0,050634283;0,067240503;0;0,044345912;0,075752818;0,000958993;2,727816872;0,206295289;0,408576805;0,019459447;0,398919004;1;1;;;;
3897;Pasture;PL.HRD;4;4;12;1;3;9;0;0;0,050634283;0,067240503;0;0,044345912;0,075752818;0,000958993;2,727816872;0,206295289;0,408576805;0,019459447;0,398919004;1;1;horses;;;
3897;Powerline;PL.HRD;7;3;8;0;3;2;0;0;0,050634283;0,067240503;0;0,044345912;0,075752818;0,000958993;2,727816872;0,206295289;0,408576805;0,019459447;0,398919004;1;1;;Region;2012;4
3897;Small road;PL.HRD;6;2;21;1;3;11;1;1;0,050634283;0,067240503;0;0,044345912;0,075752818;0,000958993;2,727816872;0,206295289;0,408576805;0,019459447;0,398919004;1;1;;;;
4091;Between fields;PL.HRD;11;6;14;0;7;7;0;0;0,174823404;0,095599524;0;0,0472565;0,035307617;0,000214702;1,809178281;1,384900028;0,427657969;0;0,025061972;1;1;;;;
4091;Big road;PL.HRD;7;7;16;1;3;10;0;0;0,174823404;0,095599524;0;0,0472565;0,035307617;0,000214702;1,809178281;1,384900028;0,427657969;0;0,025061972;1;1;;;;
4091;Pasture;PL.HRD;10;7;18;8;6;16;1;1;0,174823404;0,095599524;0;0,0472565;0,035307617;0,000214702;1,809178281;1,384900028;0,427657969;0;0,025061972;1;1;cows;;;
4091;Powerline;PL.HRD;14;7;26;4;7;13;0;0;0,174823404;0,095599524;0;0,0472565;0,035307617;0,000214702;1,809178281;1,384900028;0,427657969;0;0,025061972;1;1;;Region;2010;6
4091;Small road;PL.HRD;9;4;23;7;3;13;0;0;0,174823404;0,095599524;0;0,0472565;0,035307617;0,000214702;1,809178281;1,384900028;0,427657969;0;0,025061972;1;1;;;;
4319;Between fields;NoPL.HRD;7;2;14;1;2;9;0;0;0,215827594;0;0;0,042672479;0,045842893;0,008880752;1,889997024;1,389974364;0,402964706;0,003842476;0;0;1;;;;
4319;Big road;NoPL.HRD;9;9;24;1;5;13;0;0;0,215827594;0;0;0,042672479;0,045842893;0,008880752;1,889997024;1,389974364;0,402964706;0,003842476;0;0;1;;;;
4319;Pasture;NoPL.HRD;9;4;21;4;5;15;1;1;0,215827594;0;0;0,042672479;0,045842893;0,008880752;1,889997024;1,389974364;0,402964706;0,003842476;0;0;1;none;;;
4319;Small road;NoPL.HRD;10;8;26;1;2;18;0;0;0,215827594;0;0;0,042672479;0,045842893;0,008880752;1,889997024;1,389974364;0,402964706;0,003842476;0;0;1;;;;
5041;Between fields;NoPL.HRD;11;6;13;0;4;5;0;0;0,183957604;0;0;0,04422904;0,027527495;0,002419761;1,995715364;1,047657754;0,392282644;0;0,306210311;0;1;;;;
5041;Big road;NoPL.HRD;6;6;17;1;3;7;0;0;0,183957604;0;0;0,04422904;0,027527495;0,002419761;1,995715364;1,047657754;0,392282644;0;0,306210311;0;1;;;;
5041;Pasture;NoPL.HRD;11;2;11;2;5;7;0;0;0,183957604;0;0;0,04422904;0,027527495;0,002419761;1,995715364;1,047657754;0,392282644;0;0,306210311;0;1;cows;;;
5041;Small road;NoPL.HRD;5;2;24;2;3;11;0;0;0,183957604;0;0;0,04422904;0,027527495;0,002419761;1,995715364;1,047657754;0,392282644;0;0,306210311;0;1;;;;
5166;Between fields;NoPL.LRD;10;6;9;0;5;5;0;0;0,222395971;0;0;0,019581111;0,007536455;0,010784423;2,238530976;1,232538729;0,268644462;0;0;0;0;;;;
5166;Big road;NoPL.LRD;8;7;18;2;5;8;0;0;0,222395971;0;0;0,019581111;0,007536455;0,010784423;2,238530976;1,232538729;0,268644462;0;0;0;0;;;;
5166;Pasture;NoPL.LRD;7;6;19;5;6;14;0;0;0,222395971;0;0;0,019581111;0,007536455;0,010784423;2,238530976;1,232538729;0,268644462;0;0;0;0;cows;;;
5166;Small road;NoPL.LRD;10;8;22;2;3;13;0;0;0,222395971;0;0;0,019581111;0,007536455;0,010784423;2,238530976;1,232538729;0,268644462;0;0;0;0;;;;
5561;Big road;PL.LRD;6;1;15;1;3;8;0;0;0,047711929;0,062784205;0;0,00919674;0,007244539;0,008659233;2,464619882;1,188010645;0,21177264;0;0;1;0;;;;
5561;Pasture;PL.LRD;10;3;23;2;4;18;0;0;0,047711929;0,062784205;0;0,00919674;0,007244539;0,008659233;2,464619882;1,188010645;0,21177264;0;0;1;0;horses;;;
5561;Powerline;PL.LRD;16;6;21;5;6;12;0;0;0,047711929;0,062784205;0;0,00919674;0,007244539;0,008659233;2,464619882;1,188010645;0,21177264;0;0;1;0;;Stam;2012;4
5561;Small road;PL.LRD;10;4;19;1;3;14;0;0;0,047711929;0,062784205;0;0,00919674;0,007244539;0,008659233;2,464619882;1,188010645;0,21177264;0;0;1;0;;;;
5683;Big road;NoPL.LRD;3;6;16;3;0;8;0;0;0,040817787;0;0;0,026267996;0,006126369;0,002197111;3,041547609;0,624219051;0,255277175;0,003546817;0;0;0;;;;
5683;Pasture;NoPL.LRD;8;4;18;3;4;13;0;0;0,040817787;0;0;0,026267996;0,006126369;0,002197111;3,041547609;0,624219051;0,255277175;0,003546817;0;0;0;horses;;;
5683;Small road;NoPL.LRD;8;11;16;1;4;8;1;1;0,040817787;0;0;0,026267996;0,006126369;0,002197111;3,041547609;0,624219051;0,255277175;0,003546817;0;0;0;;;;
5798;Between fields;PL.HRD;5;4;11;1;2;7;0;0;0,090140399;0,014380181;0;0,040305603;0,044756932;0,010260324;1,962744023;1,703190663;0,13422165;0;0;1;1;;;;
5798;Big road;PL.HRD;3;2;12;1;2;7;0;0;0,090140399;0,014380181;0;0,040305603;0,044756932;0,010260324;1,962744023;1,703190663;0,13422165;0;0;1;1;;;;
5798;Pasture;PL.HRD;4;2;13;0;2;11;0;0;0,090140399;0,014380181;0;0,040305603;0,044756932;0,010260324;1,962744023;1,703190663;0,13422165;0;0;1;1;horses;;;
5798;Powerline;PL.HRD;15;6;25;4;6;17;0;0;0,090140399;0,014380181;0;0,040305603;0,044756932;0,010260324;1,962744023;1,703190663;0,13422165;0;0;1;1;;Region;2014;2
5798;Small road;PL.HRD;10;7;27;2;4;14;0;0;0,090140399;0,014380181;0;0,040305603;0,044756932;0,010260324;1,962744023;1,703190663;0,13422165;0;0;1;1;;;;
5834;Between fields;PL.LRD;5;3;7;0;2;4;0;0;0,093455081;0,044790858;0;0,026441334;0,003135431;0,006699916;2,677986281;0,912420686;0,235070332;0;0;1;0;;;;
5834;Big road;PL.LRD;8;3;27;2;4;18;0;0;0,093455081;0,044790858;0;0,026441334;0,003135431;0,006699916;2,677986281;0,912420686;0,235070332;0;0;1;0;;;;
5834;Pasture;PL.LRD;8;7;29;5;5;22;0;0;0,093455081;0,044790858;0;0,026441334;0,003135431;0,006699916;2,677986281;0,912420686;0,235070332;0;0;1;0;horses;;;
5834;Powerline;PL.LRD;11;6;21;5;5;12;1;1;0,093455081;0,044790858;0;0,026441334;0,003135431;0,006699916;2,677986281;0,912420686;0,235070332;0;0;1;0;;Stam;2012;4
5834;Small road;PL.LRD;14;6;27;3;7;14;0;0;0,093455081;0,044790858;0;0,026441334;0,003135431;0,006699916;2,677986281;0,912420686;0,235070332;0;0;1;0;;;;
5847;Big road;NoPL.LRD;13;6;17;1;3;8;0;0;0,100248975;0;0;0,021725286;0,006090305;0;3,247498429;0,082665004;0,197884315;0;0,343887687;0;0;;;;
5847;Pasture;NoPL.LRD;14;7;20;3;7;13;3;1;0,100248975;0;0;0,021725286;0,006090305;0;3,247498429;0,082665004;0,197884315;0;0,343887687;0;0;horses;;;
5847;Small road;NoPL.LRD;10;3;22;5;2;12;0;0;0,100248975;0;0;0,021725286;0,006090305;0;3,247498429;0,082665004;0,197884315;0;0,343887687;0;0;;;;
6437;Between fields;NoPL.LRD;7;3;8;3;2;5;0;0;0,131034901;0;0;0,023166839;0,006115074;0,010467776;2,506795626;1,001637206;0,320782438;0;0;0;0;;;;
6437;Big road;NoPL.LRD;3;5;17;3;3;13;0;0;0,131034901;0;0;0,023166839;0,006115074;0,010467776;2,506795626;1,001637206;0,320782438;0;0;0;0;;;;
6437;Pasture;NoPL.LRD;15;6;11;3;7;10;1;1;0,131034901;0;0;0,023166839;0,006115074;0,010467776;2,506795626;1,001637206;0,320782438;0;0;0;0;none;;;
6437;Small road;NoPL.LRD;1;5;5;1;0;2;0;0;0,131034901;0;0;0,023166839;0,006115074;0,010467776;2,506795626;1,001637206;0,320782438;0;0;0;0;;;;
6836;Between fields;NoPL.HRD;5;4;12;0;1;7;0;0;0,270530332;0;0;0,058178306;0,025499476;0,004091445;2,335125528;0,741937093;0,565375954;0;0;0;1;;;;
6836;Big road;NoPL.HRD;1;2;15;2;1;8;0;0;0,270530332;0;0;0,058178306;0,025499476;0,004091445;2,335125528;0,741937093;0,565375954;0;0;0;1;;;;
6836;Pasture;NoPL.HRD;8;2;13;2;4;9;0;0;0,270530332;0;0;0,058178306;0,025499476;0,004091445;2,335125528;0,741937093;0,565375954;0;0;0;1;cows;;;
6836;Small road;NoPL.HRD;6;1;9;1;4;5;0;0;0,270530332;0;0;0,058178306;0,025499476;0,004091445;2,335125528;0,741937093;0,565375954;0;0;0;1;;;;
7073;Between fields;NoPL.LRD;7;1;10;0;4;5;0;0;0,032844874;0;0;0,032908211;0,018416557;0,005228413;2,350427109;1,32733485;0,232839805;0;0;0;0;;;;
7073;Big road;NoPL.LRD;4;1;14;0;2;7;0;0;0,032844874;0;0;0,032908211;0,018416557;0,005228413;2,350427109;1,32733485;0,232839805;0;0;0;0;;;;
7073;Pasture;NoPL.LRD;9;2;23;6;3;17;1;1;0,032844874;0;0;0,032908211;0,018416557;0,005228413;2,350427109;1,32733485;0,232839805;0;0;0;0;none;;;
7073;Small road;NoPL.LRD;17;3;22;2;7;14;1;1;0,032844874;0;0;0,032908211;0,018416557;0,005228413;2,350427109;1,32733485;0,232839805;0;0;0;0;;;;
7080;Between fields;PL.HRD;3;2;5;0;2;1;0;0;0,106485573;0,065738448;0;0,038417355;0,054582375;0,019193385;2,043524664;1,264899116;0,407158582;0;0;1;1;;;;
7080;Big road;PL.HRD;2;2;9;0;2;6;0;0;0,106485573;0,065738448;0;0,038417355;0,054582375;0,019193385;2,043524664;1,264899116;0,407158582;0;0;1;1;;;;
7080;Pasture;PL.HRD;7;3;15;2;2;11;0;0;0,106485573;0,065738448;0;0,038417355;0,054582375;0,019193385;2,043524664;1,264899116;0,407158582;0;0;1;1;horses;;;
7080;Powerline;PL.HRD;11;2;17;0;9;9;1;1;0,106485573;0,065738448;0;0,038417355;0,054582375;0,019193385;2,043524664;1,264899116;0,407158582;0;0;1;1;;Stam;2016;0
7080;Small road;PL.HRD;7;1;15;1;4;12;0;0;0,106485573;0,065738448;0;0,038417355;0,054582375;0,019193385;2,043524664;1,264899116;0,407158582;0;0;1;1;;;;
7103;Between fields;PL.HRD;8;3;9;0;2;6;0;0;0,105186336;0,132514889;0;0,04944814;0,022409677;0,018387366;2,021768024;1,296538863;0,331511021;6,70E-05;0,02288239;1;1;;;;
7103;Big road;PL.HRD;5;2;16;1;1;8;0;0;0,105186336;0,132514889;0;0,04944814;0,022409677;0,018387366;2,021768024;1,296538863;0,331511021;6,70E-05;0,02288239;1;1;;;;
7103;Pasture;PL.HRD;6;3;18;6;2;12;0;0;0,105186336;0,132514889;0;0,04944814;0,022409677;0,018387366;2,021768024;1,296538863;0,331511021;6,70E-05;0,02288239;1;1;horses;;;
7103;Powerline;PL.HRD;19;5;11;4;7;6;0;0;0,105186336;0,132514889;0;0,04944814;0,022409677;0,018387366;2,021768024;1,296538863;0,331511021;6,70E-05;0,02288239;1;1;;Stam;2013;3
7103;Small road;PL.HRD;4;2;21;2;2;11;0;0;0,105186336;0,132514889;0;0,04944814;0,022409677;0,018387366;2,021768024;1,296538863;0,331511021;6,70E-05;0,02288239;1;1;;;;
7411;Between fields;NoPL.LRD;6;2;10;1;1;5;0;0;0,073187464;0;0;0,018312556;0,009524073;0,00848423;2,567855622;1,126116347;0,196519485;0;0;0;0;;;;
7411;Big road;NoPL.LRD;4;5;10;2;3;7;0;0;0,073187464;0;0;0,018312556;0,009524073;0,00848423;2,567855622;1,126116347;0,196519485;0;0;0;0;;;;
7411;Pasture;NoPL.LRD;13;5;16;5;6;14;1;1;0,073187464;0;0;0,018312556;0,009524073;0,00848423;2,567855622;1,126116347;0,196519485;0;0;0;0;horses;;;
7411;Small road;NoPL.LRD;1;2;9;0;0;6;0;0;0,073187464;0;0;0,018312556;0,009524073;0,00848423;2,567855622;1,126116347;0,196519485;0;0;0;0;;;;
8329;Between fields;NoPL.LRD;10;2;6;0;5;3;0;0;0,102869064;0;0;0,027016589;0,005414368;0,009981786;2,437323054;1,042267162;0,375127731;0;0;0;0;;;;
8329;Big road;NoPL.LRD;7;2;13;1;2;7;0;0;0,102869064;0;0;0,027016589;0,005414368;0,009981786;2,437323054;1,042267162;0,375127731;0;0;0;0;;;;
8329;Pasture;NoPL.LRD;6;2;11;1;4;8;0;0;0,102869064;0;0;0,027016589;0,005414368;0,009981786;2,437323054;1,042267162;0,375127731;0;0;0;0;cows;;;
8329;Small road;NoPL.LRD;3;3;12;1;2;7;0;0;0,102869064;0;0;0,027016589;0,005414368;0,009981786;2,437323054;1,042267162;0,375127731;0;0;0;0;;;;
8337;Between fields;NoPL.HRD;4;3;4;0;1;1;0;0;0,175302848;0;0;0,057842758;0,0399156;0,007244989;2,118198353;1,281044416;0,320450898;0;0;0;1;;;;
8337;Big road;NoPL.HRD;6;0;8;2;3;5;0;0;0,175302848;0;0;0,057842758;0,0399156;0,007244989;2,118198353;1,281044416;0,320450898;0;0;0;1;;;;
8337;Pasture;NoPL.HRD;11;6;16;3;7;10;2;1;0,175302848;0;0;0,057842758;0,0399156;0,007244989;2,118198353;1,281044416;0,320450898;0;0;0;1;cows;;;
8337;Small road;NoPL.HRD;17;3;18;4;8;14;0;0;0,175302848;0;0;0,057842758;0,0399156;0,007244989;2,118198353;1,281044416;0,320450898;0;0;0;1;;;;
8768;Between fields;PL.LRD;8;5;10;0;3;5;0;0;0,076294909;0,220464678;0;0,025079792;0;0,013939601;2,467547304;1,05444965;0,14222392;0;0;1;0;;;;
8768;Big road;PL.LRD;9;3;20;2;3;12;0;0;0,076294909;0,220464678;0;0,025079792;0;0,013939601;2,467547304;1,05444965;0,14222392;0;0;1;0;;;;
8768;Pasture;PL.LRD;10;1;21;4;5;16;0;0;0,076294909;0,220464678;0;0,025079792;0;0,013939601;2,467547304;1,05444965;0,14222392;0;0;1;0;horses;;;
8768;Powerline;PL.LRD;19;7;20;4;7;10;1;1;0,076294909;0,220464678;0;0,025079792;0;0,013939601;2,467547304;1,05444965;0,14222392;0;0;1;0;;Stam;2011;5
8768;Small road;PL.LRD;10;6;16;3;3;8;0;0;0,076294909;0,220464678;0;0,025079792;0;0,013939601;2,467547304;1,05444965;0,14222392;0;0;1;0;;;;
9889;Between fields;PL.LRD;2;1;12;3;2;6;0;0;0,360870255;0,043947037;0;0,002096794;0,017887268;0,006668343;2,312360679;0,533077701;0,711021184;0;0,012219784;1;0;;;;
9889;Big road;PL.LRD;7;8;13;1;3;8;0;0;0,360870255;0,043947037;0;0,002096794;0,017887268;0,006668343;2,312360679;0,533077701;0,711021184;0;0,012219784;1;0;;;;
9889;Pasture;PL.LRD;7;5;19;5;2;11;0;0;0,360870255;0,043947037;0;0,002096794;0,017887268;0,006668343;2,312360679;0,533077701;0,711021184;0;0,012219784;1;0;cows;;;
9889;Powerline;PL.LRD;15;5;10;3;5;5;0;0;0,360870255;0,043947037;0;0,002096794;0,017887268;0,006668343;2,312360679;0,533077701;0,711021184;0;0,012219784;1;0;;Region;2014;2
9889;Small road;PL.LRD;8;6;21;7;4;15;0;0;0,360870255;0,043947037;0;0,002096794;0,017887268;0,006668343;2,312360679;0,533077701;0,711021184;0;0,012219784;1;0;;;;
9931;Between fields;NoPL.LRD;11;3;12;0;5;8;1;1;0,051572206;0;0;0,023652618;0,005435912;0,007534584;3,191873059;0,534961286;0,184329424;0;0,000640654;0;0;;;;
9931;Big road;NoPL.LRD;8;7;18;4;4;14;0;0;0,051572206;0;0;0,023652618;0,005435912;0,007534584;3,191873059;0,534961286;0,184329424;0;0,000640654;0;0;;;;
9931;Pasture;NoPL.LRD;10;5;18;2;3;14;0;0;0,051572206;0;0;0,023652618;0,005435912;0,007534584;3,191873059;0,534961286;0,184329424;0;0,000640654;0;0;cows;;;
9931;Small road;NoPL.LRD;11;9;15;2;4;6;0;0;0,051572206;0;0;0,023652618;0,005435912;0,007534584;3,191873059;0,534961286;0,184329424;0;0,000640654;0;0;;;;
10099;Big road;NoPL.HRD;7;2;12;1;2;4;0;0;0,097414341;0;0;0,051681714;0,027058679;0,000591272;2,850376134;0,043402517;0,875270627;0;0,054204688;0;1;;;;
10099;Pasture;NoPL.HRD;10;6;14;1;7;10;0;0;0,097414341;0;0;0,051681714;0,027058679;0,000591272;2,850376134;0,043402517;0,875270627;0;0,054204688;0;1;horses;;;
10099;Small road;NoPL.HRD;13;5;26;6;3;19;0;0;0,097414341;0;0;0,051681714;0,027058679;0,000591272;2,850376134;0,043402517;0,875270627;0;0,054204688;0;1;;;;
10156;Big road;PL.LRD;19;6;20;5;8;15;2;1;0,276434396;0,179753902;0;0,029550376;0;0,003047941;3,169715484;0,109393522;0,186790197;0;0,04531399;1;0;;;;
10156;Pasture;PL.LRD;5;2;11;3;3;6;0;0;0,276434396;0,179753902;0;0,029550376;0;0,003047941;3,169715484;0,109393522;0,186790197;0;0,04531399;1;0;cows;;;
10156;Powerline;PL.LRD;12;5;13;0;5;7;0;0;0,276434396;0,179753902;0;0,029550376;0;0,003047941;3,169715484;0,109393522;0,186790197;0;0,04531399;1;0;;Stam;2012;4
10156;Small road;PL.LRD;14;5;9;3;4;4;0;0;0,276434396;0,179753902;0;0,029550376;0;0,003047941;3,169715484;0,109393522;0,186790197;0;0,04531399;1;0;;;;
